Sentence #,Word,POS,Tag
Sentence: 1,EU,NNP,ORG
,rejects,VBZ,O
,German,JJ,MISC
,call,NN,O
,to,TO,O
,boycott,VB,O
,British,JJ,MISC
,lamb,NN,O
,.,.,O
Sentence: 2,Peter,NNP,PER
,Blackburn,NNP,PER
,BRUSSELS,NNP,LOC
,1996-08-22,CD,O
,The,DT,O
,European,NNP,ORG
,Commission,NNP,ORG
,said,VBD,O
,on,IN,O
,Thursday,NNP,O
,it,PRP,O
,disagreed,VBD,O
,with,IN,O
,German,JJ,MISC
,advice,NN,O
,to,TO,O
,consumers,NNS,O
,to,TO,O
,shun,VB,O
,British,JJ,MISC
,lamb,NN,O
,until,IN,O
,scientists,NNS,O
,determine,VBP,O
,whether,IN,O
,mad,JJ,O
,cow,NN,O
,disease,NN,O
,can,MD,O
,be,VB,O
,transmitted,VBN,O
,to,TO,O
,sheep,NN,O
,.,.,O
Sentence: 3,Germany,NNP,LOC
,'s,POS,O
,representative,NN,O
,to,TO,O
,the,DT,O
,European,NNP,ORG
,Union,NNP,ORG
,'s,POS,O
,veterinary,JJ,O
,committee,NN,O
,Werner,NNP,PER
,Zwingmann,NNP,PER
,said,VBD,O
,on,IN,O
,Wednesday,NNP,O
,consumers,NNS,O
,should,MD,O
,buy,VB,O
,sheepmeat,NN,O
,from,IN,O
,countries,NNS,O
,other,JJ,O
,than,IN,O
,Britain,NNP,LOC
,until,IN,O
,the,DT,O
,scientific,JJ,O
,advice,NN,O
,was,VBD,O
,clearer,JJR,O
,.,.,O
Sentence: 4, ,O,
,We,PRP,O
,do,VBP,O
,n't,RB,O
,support,VB,O
,any,DT,O
,such,JJ,O
,recommendation,NN,O
,because,IN,O
,we,PRP,O
,do,VBP,O
,n't,RB,O
,see,VB,O
,any,DT,O
,grounds,NNS,O
,for,IN,O
,it,PRP,O
,",",",",O
, ,O,
,the,DT,O
,Commission,NNP,ORG
,'s,POS,O
,chief,JJ,O
,spokesman,NN,O
,Nikolaus,NNP,PER
,van,NNP,PER
,der,FW,PER
,Pas,NNP,PER
,told,VBD,O
,a,DT,O
,news,NN,O
,briefing,NN,O
,.,.,O
Sentence: 5,He,PRP,O
,said,VBD,O
,further,JJ,O
,scientific,JJ,O
,study,NN,O
,was,VBD,O
,required,VBN,O
,and,CC,O
,if,IN,O
,it,PRP,O
,was,VBD,O
,found,VBN,O
,that,IN,O
,action,NN,O
,was,VBD,O
,needed,VBN,O
,it,PRP,O
,should,MD,O
,be,VB,O
,taken,VBN,O
,by,IN,O
,the,DT,O
,European,NNP,ORG
,Union,NNP,ORG
,.,.,O
Sentence: 6,He,PRP,O
,said,VBD,O
,a,DT,O
,proposal,NN,O
,last,JJ,O
,month,NN,O
,by,IN,O
,EU,NNP,ORG
,Farm,NNP,O
,Commissioner,NNP,O
,Franz,NNP,PER
,Fischler,NNP,PER
,to,TO,O
,ban,VB,O
,sheep,NN,O
,brains,NNS,O
,",",",",O
,spleens,NNS,O
,and,CC,O
,spinal,JJ,O
,cords,NNS,O
,from,IN,O
,the,DT,O
,human,NN,O
,and,CC,O
,animal,NN,O
,food,NN,O
,chains,NNS,O
,was,VBD,O
,a,DT,O
,highly,RB,O
,specific,JJ,O
,and,CC,O
,precautionary,JJ,O
,move,NN,O
,to,TO,O
,protect,VB,O
,human,JJ,O
,health,NN,O
,.,.,O
Sentence: 7,Fischler,JJR,PER
,proposed,VBN,O
,EU-wide,NNP,MISC
,measures,VBZ,O
,after,IN,O
,reports,NNS,O
,from,IN,O
,Britain,NNP,LOC
,and,CC,O
,France,NNP,LOC
,that,WDT,O
,under,IN,O
,laboratory,NN,O
,conditions,NNS,O
,sheep,NN,O
,could,MD,O
,contract,VB,O
,Bovine,NNP,MISC
,Spongiform,NNP,MISC
,Encephalopathy,NNP,MISC
,(,(,O
,BSE,NNP,MISC
,),),O
,--,:,O
,mad,JJ,O
,cow,NN,O
,disease,NN,O
,.,.,O
Sentence: 8,But,CC,O
,Fischler,NNP,PER
,agreed,VBD,O
,to,TO,O
,review,VB,O
,his,PRP$,O
,proposal,NN,O
,after,IN,O
,the,DT,O
,EU,NNP,ORG
,'s,POS,O
,standing,NN,O
,veterinary,JJ,O
,committee,NN,O
,",",",",O
,mational,JJ,O
,animal,NN,O
,health,NN,O
,officials,NNS,O
,",",",",O
,questioned,VBD,O
,if,IN,O
,such,JJ,O
,action,NN,O
,was,VBD,O
,justified,VBN,O
,as,IN,O
,there,RB,O
,was,VBD,O
,only,RB,O
,a,DT,O
,slight,JJ,O
,risk,NN,O
,to,TO,O
,human,JJ,O
,health,NN,O
,.,.,O
Sentence: 9,Spanish,NNP,MISC
,Farm,NNP,O
,Minister,NNP,O
,Loyola,NNP,PER
,de,NNP,PER
,Palacio,NNP,PER
,had,VBD,O
,earlier,RBR,O
,accused,VBN,O
,Fischler,NNP,PER
,at,IN,O
,an,DT,O
,EU,JJ,ORG
,farm,NN,O
,ministers,NNS,O
,',POS,O
,meeting,NN,O
,of,IN,O
,causing,VBG,O
,unjustified,JJ,O
,alarm,NN,O
,through,IN,O
, ,O,
,dangerous,JJ,O
,generalisation,NN,O
,.,.,O
Sentence: 10, ,O,
,.,.,O
Sentence: 11,Only,RB,O
,France,NNP,LOC
,and,CC,O
,Britain,NNP,LOC
,backed,VBD,O
,Fischler,NNP,PER
,'s,POS,O
,proposal,NN,O
,.,.,O
Sentence: 12,The,DT,O
,EU,NNP,ORG
,'s,POS,O
,scientific,JJ,O
,veterinary,JJ,O
,and,CC,O
,multidisciplinary,JJ,O
,committees,NNS,O
,are,VBP,O
,due,JJ,O
,to,TO,O
,re-examine,VB,O
,the,DT,O
,issue,NN,O
,early,RB,O
,next,JJ,O
,month,NN,O
,and,CC,O
,make,VB,O
,recommendations,NNS,O
,to,TO,O
,the,DT,O
,senior,JJ,O
,veterinary,JJ,O
,officials,NNS,O
,.,.,O
Sentence: 13,Sheep,NNP,O
,have,VBP,O
,long,RB,O
,been,VBN,O
,known,VBN,O
,to,TO,O
,contract,NN,O
,scrapie,NN,O
,",",",",O
,a,DT,O
,brain-wasting,JJ,O
,disease,NN,O
,similar,JJ,O
,to,TO,O
,BSE,NNP,MISC
,which,WDT,O
,is,VBZ,O
,believed,VBN,O
,to,TO,O
,have,VB,O
,been,VBN,O
,transferred,VBN,O
,to,TO,O
,cattle,NNS,O
,through,IN,O
,feed,NN,O
,containing,VBG,O
,animal,NN,O
,waste,NN,O
,.,.,O
Sentence: 14,British,JJ,MISC
,farmers,NNS,O
,denied,VBN,O
,on,IN,O
,Thursday,NNP,O
,there,EX,O
,was,VBD,O
,any,DT,O
,danger,NN,O
,to,TO,O
,human,JJ,O
,health,NN,O
,from,IN,O
,their,PRP$,O
,sheep,NN,O
,",",",",O
,but,CC,O
,expressed,VBD,O
,concern,NN,O
,that,IN,O
,German,JJ,MISC
,government,NN,O
,advice,NN,O
,to,TO,O
,consumers,NNS,O
,to,TO,O
,avoid,VB,O
,British,JJ,MISC
,lamb,NN,O
,might,MD,O
,influence,VB,O
,consumers,NNS,O
,across,IN,O
,Europe,NNP,LOC
,.,.,O
Sentence: 15, ,O,
,What,WP,O
,we,PRP,O
,have,VBP,O
,to,TO,O
,be,VB,O
,extremely,RB,O
,careful,JJ,O
,of,IN,O
,is,VBZ,O
,how,WRB,O
,other,JJ,O
,countries,NNS,O
,are,VBP,O
,going,VBG,O
,to,TO,O
,take,VB,O
,Germany,NNP,LOC
,'s,POS,O
,lead,NN,O
,",",",",O
, ,O,
,Welsh,NNP,ORG
,National,NNP,ORG
,Farmers,NNP,ORG
,',POS,ORG
,Union,NNP,ORG
,(,(,O
,NFU,NNP,ORG
,),),O
,chairman,NN,O
,John,NNP,PER
,Lloyd,NNP,PER
,Jones,NNP,PER
,said,VBD,O
,on,IN,O
,BBC,NNP,ORG
,radio,NN,ORG
,.,.,O
Sentence: 16,Bonn,NNP,LOC
,has,VBZ,O
,led,VBN,O
,efforts,NNS,O
,to,TO,O
,protect,VB,O
,public,JJ,O
,health,NN,O
,after,IN,O
,consumer,NN,O
,confidence,NN,O
,collapsed,VBD,O
,in,IN,O
,March,NNP,O
,after,IN,O
,a,DT,O
,British,JJ,MISC
,report,NN,O
,suggested,VBD,O
,humans,NNS,O
,could,MD,O
,contract,VB,O
,an,DT,O
,illness,NN,O
,similar,JJ,O
,to,TO,O
,mad,JJ,O
,cow,NN,O
,disease,NN,O
,by,IN,O
,eating,VBG,O
,contaminated,VBN,O
,beef,NN,O
,.,.,O
Sentence: 17,Germany,NNP,LOC
,imported,VBD,O
,"47,600",CD,O
,sheep,NN,O
,from,IN,O
,Britain,NNP,LOC
,last,JJ,O
,year,NN,O
,",",",",O
,nearly,RB,O
,half,NN,O
,of,IN,O
,total,JJ,O
,imports,NNS,O
,.,.,O
Sentence: 18,It,PRP,O
,brought,VBD,O
,in,IN,O
,"4,275",CD,O
,tonnes,NNS,O
,of,IN,O
,British,JJ,MISC
,mutton,NN,O
,",",",",O
,some,DT,O
,10,CD,O
,percent,NN,O
,of,IN,O
,overall,JJ,O
,imports,NNS,O
,.,.,O
Sentence: 19,-DOCSTART-,-X-,O
,Rare,NNP,O
,Hendrix,NNP,PER
,song,NN,O
,draft,NN,O
,sells,VBZ,O
,for,IN,O
,almost,RB,O
,$,$,O
,"17,000",CD,O
,.,.,O
Sentence: 20,LONDON,NNP,LOC
,1996-08-22,CD,O
,A,DT,O
,rare,JJ,O
,early,JJ,O
,handwritten,JJ,O
,draft,NN,O
,of,IN,O
,a,DT,O
,song,NN,O
,by,IN,O
,U.S.,NNP,LOC
,guitar,NN,O
,legend,NN,O
,Jimi,NNP,PER
,Hendrix,NNP,PER
,was,VBD,O
,sold,VBN,O
,for,IN,O
,almost,RB,O
,$,$,O
,"17,000",CD,O
,on,IN,O
,Thursday,NNP,O
,at,IN,O
,an,DT,O
,auction,NN,O
,of,IN,O
,some,DT,O
,of,IN,O
,the,DT,O
,late,JJ,O
,musician,NN,O
,'s,POS,O
,favourite,JJ,O
,possessions,NNS,O
,.,.,O
Sentence: 21,A,DT,O
,Florida,NNP,LOC
,restaurant,NN,O
,paid,VBD,O
,"10,925",CD,O
,pounds,NNS,O
,(,(,O
,$,$,O
,"16,935",CD,O
,),),O
,for,IN,O
,the,DT,O
,draft,NN,O
,of,IN,O
, ,O,
,Ai,VBZ,MISC
,n't,RB,MISC
,no,DT,MISC
,telling,VBG,MISC
, ,O,
,",",",",O
,which,WDT,O
,Hendrix,NNP,PER
,penned,VBN,O
,on,IN,O
,a,DT,O
,piece,NN,O
,of,IN,O
,London,NNP,LOC
,hotel,NN,O
,stationery,NN,O
,in,IN,O
,late,JJ,O
,1966,CD,O
,.,.,O
Sentence: 22,At,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,a,DT,O
,January,NNP,O
,1967,CD,O
,concert,NN,O
,in,IN,O
,the,DT,O
,English,JJ,MISC
,city,NN,O
,of,IN,O
,Nottingham,NNP,LOC
,he,PRP,O
,threw,VBD,O
,the,DT,O
,sheet,NN,O
,of,IN,O
,paper,NN,O
,into,IN,O
,the,DT,O
,audience,NN,O
,",",",",O
,where,WRB,O
,it,PRP,O
,was,VBD,O
,retrieved,VBN,O
,by,IN,O
,a,DT,O
,fan,NN,O
,.,.,O
Sentence: 23,Buyers,NNS,O
,also,RB,O
,snapped,VBD,O
,up,RB,O
,16,CD,O
,other,JJ,O
,items,NNS,O
,that,WDT,O
,were,VBD,O
,put,VBN,O
,up,RP,O
,for,IN,O
,auction,NN,O
,by,IN,O
,Hendrix,NNP,PER
,'s,POS,O
,former,JJ,O
,girlfriend,NN,O
,Kathy,NNP,PER
,Etchingham,NNP,PER
,",",",",O
,who,WP,O
,lived,VBD,O
,with,IN,O
,him,PRP,O
,from,IN,O
,1966,CD,O
,to,TO,O
,1969,CD,O
,.,.,O
Sentence: 24,They,PRP,O
,included,VBD,O
,a,DT,O
,black,JJ,O
,lacquer,NN,O
,and,CC,O
,mother,NN,O
,of,IN,O
,pearl,NN,O
,inlaid,VBD,O
,box,NN,O
,used,VBN,O
,by,IN,O
,Hendrix,NNP,PER
,to,TO,O
,store,VB,O
,his,PRP$,O
,drugs,NNS,O
,",",",",O
,which,WDT,O
,an,DT,O
,anonymous,JJ,O
,Australian,JJ,MISC
,purchaser,NN,O
,bought,VBD,O
,for,IN,O
,"5,060",CD,O
,pounds,NNS,O
,(,(,O
,$,$,O
,"7,845",CD,O
,),),O
,.,.,O
Sentence: 25,The,DT,O
,guitarist,NN,O
,died,VBD,O
,of,IN,O
,a,DT,O
,drugs,NNS,O
,overdose,NN,O
,in,IN,O
,1970,CD,O
,aged,VBN,O
,27,CD,O
,.,.,O
Sentence: 26,-DOCSTART-,-X-,O
,China,NNP,LOC
,says,VBZ,O
,Taiwan,NNP,LOC
,spoils,VBZ,O
,atmosphere,NN,O
,for,IN,O
,talks,NNS,O
,.,.,O
Sentence: 27,BEIJING,VBG,LOC
,1996-08-22,CD,O
,China,NNP,LOC
,on,IN,O
,Thursday,NNP,O
,accused,VBD,O
,Taipei,NNP,LOC
,of,IN,O
,spoiling,VBG,O
,the,DT,O
,atmosphere,NN,O
,for,IN,O
,a,DT,O
,resumption,NN,O
,of,IN,O
,talks,NNS,O
,across,IN,O
,the,DT,O
,Taiwan,NNP,LOC
,Strait,NNP,LOC
,with,IN,O
,a,DT,O
,visit,NN,O
,to,TO,O
,Ukraine,NNP,LOC
,by,IN,O
,Taiwanese,NNP,MISC
,Vice,NNP,O
,President,NNP,O
,Lien,NNP,PER
,Chan,NNP,PER
,this,DT,O
,week,NN,O
,that,WDT,O
,infuriated,VBD,O
,Beijing,NNP,LOC
,.,.,O
Sentence: 28,Speaking,VBG,O
,only,JJ,O
,hours,NNS,O
,after,IN,O
,Chinese,JJ,MISC
,state,NN,O
,media,NNS,O
,said,VBD,O
,the,DT,O
,time,NN,O
,was,VBD,O
,right,RB,O
,to,TO,O
,engage,VB,O
,in,IN,O
,political,JJ,O
,talks,NNS,O
,with,IN,O
,Taiwan,NNP,LOC
,",",",",O
,Foreign,NNP,ORG
,Ministry,NNP,ORG
,spokesman,NN,O
,Shen,NNP,PER
,Guofang,NNP,PER
,told,VBD,O
,Reuters,NNP,ORG
,:,:,O
, ,O,
,The,DT,O
,necessary,JJ,O
,atmosphere,NN,O
,for,IN,O
,the,DT,O
,opening,NN,O
,of,IN,O
,the,DT,O
,talks,NNS,O
,has,VBZ,O
,been,VBN,O
,disrupted,VBN,O
,by,IN,O
,the,DT,O
,Taiwan,NNP,LOC
,authorities,NNS,O
,.,.,O
Sentence: 29, ,O,
,State,NN,O
,media,NNS,O
,quoted,VBD,O
,China,NNP,LOC
,'s,POS,O
,top,JJ,O
,negotiator,NN,O
,with,IN,O
,Taipei,NNP,LOC
,",",",",O
,Tang,NNP,PER
,Shubei,NNP,PER
,",",",",O
,as,IN,O
,telling,VBG,O
,a,DT,O
,visiting,JJ,O
,group,NN,O
,from,IN,O
,Taiwan,NNP,LOC
,on,IN,O
,Wednesday,NNP,O
,that,IN,O
,it,PRP,O
,was,VBD,O
,time,NN,O
,for,IN,O
,the,DT,O
,rivals,NNS,O
,to,TO,O
,hold,VB,O
,political,JJ,O
,talks,NNS,O
,.,.,O
Sentence: 30, ,O,
